id,name,state,city,county,geocode_display_name,roof_area_sqft,latitude,longitude,company_id,building_type,land_use_type,footprint_wkt,data_source
ms-tx-000412,Microsoft footprint TX #413,TX,Brookshire,Waller County,"Lakeside Drive, Brookshire, Waller County, Texas, United States",100056.48,29.7673257,-95.9660676,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.966968 29.7677, -95.965051 29.766191, -95.9647 29.766527, -95.964843 29.766578, -95.964864 29.766596, -95.964965 29.766632, -95.965008 29.766543, -95.965033 29.766518, -95.965114 29.766582, -95.965165 29.766583, -95.965371 29.766502, -95.965598 29.766681, -95.965562 29.766945, -95.965804 29.76697, -95.965787 29.766987, -95.96592 29.767035, -95.966031 29.767246, -95.966012 29.767379, -95.966101 29.767388, -95.966231 29.767636, -95.966125 29.767596, -95.966116 29.767665, -95.966015 29.767654, -95.966008 29.767708, -95.965855 29.767652, -95.965813 29.76762, -95.965723 29.76761, -95.966457 29.768188, -95.966968 29.7677)))",microsoft_us_building_footprints
ms-tx-000413,Microsoft footprint TX #414,TX,Bay City,Matagorda County,"Whitson Street, Bay City, Matagorda County, Texas, 77414, United States",114953.21,28.9683574,-95.9707148,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.970422 28.969291, -95.970905 28.969296, -95.970911 28.968751, -95.97096 28.968752, -95.970965 28.968281, -95.971078 28.968282, -95.971084 28.967688, -95.971018 28.967687, -95.97102 28.967534, -95.97044 28.967529, -95.970439 28.96762, -95.970418 28.96762, -95.970417 28.96778, -95.970414 28.96778, -95.970413 28.967838, -95.970445 28.967838, -95.970444 28.967921, -95.97042 28.967921, -95.970417 28.96817, -95.970484 28.96817, -95.970483 28.96829, -95.970434 28.96829, -95.970422 28.969291)))",microsoft_us_building_footprints
ms-tx-000414,Microsoft footprint TX #415,TX,,Van Zandt County,"Van Zandt County, Texas, United States",158666.21,32.7628770,-95.9924336,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.99157 32.762511, -95.991707 32.763382, -95.992904 32.763249, -95.992927 32.763396, -95.993271 32.763358, -95.993111 32.76234, -95.99157 32.762511)))",microsoft_us_building_footprints
ms-tx-000415,Microsoft footprint TX #416,TX,Telephone,Fannin County,"Sam Rayburn School, FM 273, Telephone, Fannin County, Texas, 75447, United States",125349.16,33.7685172,-96.1047447,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.105038 33.768492, -96.105 33.76831, -96.104768 33.768343, -96.104721 33.768117, -96.104867 33.768096, -96.104829 33.767913, -96.104649 33.767939, -96.104805 33.767712, -96.104052 33.767821, -96.104092 33.768012, -96.103923 33.768037, -96.103978 33.768301, -96.104283 33.768257, -96.104395 33.768792, -96.104678 33.768751, -96.104448 33.768428, -96.104602 33.768406, -96.104655 33.768664, -96.10499 33.768615, -96.105018 33.768746, -96.104552 33.768813, -96.104623 33.769153, -96.104879 33.769227, -96.104911 33.769379, -96.1053 33.769323, -96.105352 33.769298, -96.10521 33.768614, -96.105729 33.768539, -96.105699 33.768396, -96.105038 33.768492)))",microsoft_us_building_footprints
ms-tx-000416,Microsoft footprint TX #417,TX,Greenville,Hunt County,"Industrial Drive, Greenville, Hunt County, Texas, 75402, United States",110015.47,33.1299482,-96.1478770,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.147587 33.130306, -96.147713 33.130309, -96.147701 33.130688, -96.147621 33.130686, -96.147612 33.130966, -96.148096 33.130977, -96.14816 33.129003, -96.14763 33.128991, -96.147587 33.130306)))",microsoft_us_building_footprints
ms-tx-000417,Microsoft footprint TX #418,TX,,Austin County,"Miller Road, Austin County, Texas, 77418, United States",110738.75,29.8990771,-96.2135168,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.213964 29.897669, -96.212744 29.900331, -96.212837 29.900362, -96.212874 29.900282, -96.212848 29.900273, -96.212907 29.900145, -96.21312 29.900218, -96.213154 29.900144, -96.213316 29.9002, -96.213497 29.899806, -96.213328 29.899748, -96.213343 29.899714, -96.213418 29.899739, -96.213458 29.89965, -96.213553 29.899683, -96.213626 29.899524, -96.213527 29.89949, -96.21372 29.899067, -96.213623 29.899034, -96.213794 29.89866, -96.21388 29.89869, -96.214088 29.898236, -96.214023 29.898214, -96.21401 29.898242, -96.213971 29.898228, -96.214069 29.898013, -96.214162 29.898045, -96.214257 29.897838, -96.214155 29.897803, -96.214182 29.897744, -96.213964 29.897669)))",microsoft_us_building_footprints
ms-tx-000418,Microsoft footprint TX #419,TX,Bryan,Brazos County,"3838, East Crest Drive, Bryan, Brazos County, Texas, 77802, United States",106888.88,30.6575963,-96.2914392,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.291843 30.658328, -96.291395 30.658314, -96.291335 30.658089, -96.291179 30.658084, -96.291161 30.658496, -96.292047 30.658525, -96.292068 30.658057, -96.29191 30.658052, -96.291927 30.657683, -96.292393 30.657698, -96.2924 30.657539, -96.291976 30.657525, -96.291945 30.65741, -96.291861 30.657427, -96.29188 30.656988, -96.290495 30.656942, -96.290468 30.657526, -96.290787 30.657537, -96.290792 30.657435, -96.290695 30.657432, -96.290708 30.657144, -96.291078 30.657156, -96.291067 30.657402, -96.291286 30.657409, -96.291297 30.657164, -96.291624 30.657174, -96.291625 30.657706, -96.291871 30.657714, -96.291843 30.658328)))",microsoft_us_building_footprints
ms-tx-000419,Microsoft footprint TX #420,TX,College Station,Brazos County,"Kohl's, 1701, Texas Avenue South, College Station, Brazos County, Texas, 77840, United States",196366.42,30.6176332,-96.3191169,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.317903 30.616392, -96.317575 30.616718, -96.318044 30.617067, -96.318026 30.61711, -96.318135 30.61725, -96.318333 30.617053, -96.318502 30.617179, -96.318152 30.617528, -96.318632 30.617885, -96.318749 30.617769, -96.318998 30.617954, -96.319214 30.617808, -96.319385 30.617935, -96.319277 30.618042, -96.319637 30.618309, -96.319738 30.618209, -96.319796 30.618252, -96.319834 30.618213, -96.320124 30.618429, -96.320159 30.618395, -96.320776 30.618854, -96.320728 30.618902, -96.320775 30.618936, -96.320689 30.619022, -96.320799 30.619104, -96.321093 30.618811, -96.318019 30.616496, -96.318025 30.616482, -96.317903 30.616392)))",microsoft_us_building_footprints
ms-tx-000420,Microsoft footprint TX #421,TX,College Station,Brazos County,"Subway, 1815, Brothers Boulevard, College Station, Brazos County, Texas, 77840, United States",273647.47,30.5971626,-96.3004918,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.300974 30.596546, -96.30041 30.596648, -96.300429 30.596723, -96.299572 30.596878, -96.299524 30.596679, -96.299364 30.596708, -96.299278 30.596935, -96.299268 30.596897, -96.299128 30.596923, -96.299332 30.597755, -96.299584 30.59771, -96.299619 30.597618, -96.299696 30.597604, -96.299735 30.597765, -96.300402 30.597645, -96.300424 30.597735, -96.300525 30.597763, -96.301073 30.597664, -96.301184 30.597487, -96.301744 30.597213, -96.301759 30.597172, -96.301787 30.597215, -96.301871 30.597174, -96.301859 30.597124, -96.302029 30.597041, -96.301785 30.596672, -96.301648 30.596696, -96.301588 30.596605, -96.301022 30.596707, -96.301092 30.596993, -96.301083 30.596991, -96.300974 30.596546)))",microsoft_us_building_footprints
ms-tx-000421,Microsoft footprint TX #422,TX,College Station,Brazos County,"Office Depot, 715, Texas Avenue South, College Station, Brazos County, Texas, 77840, United States",112040.2,30.6263608,-96.3302973,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-96.329348 30.625985, -96.329605 30.626188, -96.329676 30.626122, -96.32983 30.626244, -96.32993 30.626149, -96.330036 30.626233, -96.329928 30.626334, -96.33016 30.626516, -96.330039 30.626629, -96.330383 30.6269, -96.330471 30.626818, -96.330818 30.627092, -96.331185 30.626748, -96.331126 30.626703, -96.33115 30.62668, -96.330932 30.626507, -96.330928 30.626511, -96.33059 30.626244, -96.330591 30.626243, -96.329766 30.625593, -96.329348 30.625985)))",microsoft_us_building_footprints
